epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.842,1.31938,3.59319,1.22174,0.00968,0.7563,0.43754,0.35785,0.90478,3.3156,0.90584,0.00022491,0.00022491,0.00022491
2,703.609,1.03888,2.11663,1.05965,0.94167,0.5462,0.79435,0.62519,0.95934,2.67359,0.95042,0.000449079,0.000449079,0.000449079
3,1004.04,0.90209,1.18243,1.00342,0.97159,0.69125,0.99413,0.81946,0.60747,1.40069,0.84734,0.000664011,0.000664011,0.000664011
4,1335.87,0.82773,0.94031,0.96007,0.97231,0.99787,0.995,0.8235,0.54297,0.97576,0.80213,0.00078352,0.00078352,0.00078352
5,1601.23,0.78165,0.82159,0.9422,0.97959,1,0.995,0.86346,0.51178,0.78637,0.793,0.000767026,0.000767026,0.000767026
6,1726.46,0.72981,0.77196,0.92605,0.9792,0.99903,0.995,0.84982,0.56654,0.63538,0.76792,0.000750533,0.000750533,0.000750533
7,1819.69,0.70242,0.73517,0.92275,0.98894,1,0.995,0.85395,0.42266,0.38392,0.73763,0.00073404,0.00073404,0.00073404
8,1965.88,0.66811,0.68225,0.91567,0.99023,1,0.995,0.8634,0.51272,0.49851,0.75875,0.000717546,0.000717546,0.000717546
9,2123.57,0.64349,0.68143,0.90202,0.98539,0.99962,0.995,0.88665,0.36468,0.37585,0.72171,0.000701053,0.000701053,0.000701053
10,2263.04,0.6088,0.63208,0.89707,0.9903,0.9903,0.99393,0.87812,0.40933,0.35797,0.70903,0.000684559,0.000684559,0.000684559
11,2394.56,0.60948,0.62332,0.90349,0.98909,0.9933,0.995,0.88365,0.49049,0.44764,0.76013,0.000668066,0.000668066,0.000668066
12,2494.35,0.57223,0.58842,0.88074,0.98555,0.9914,0.995,0.88807,0.3963,0.3303,0.72903,0.000651573,0.000651573,0.000651573
13,2612.04,0.54838,0.56001,0.87811,0.98797,1,0.995,0.89826,0.36411,0.30025,0.70846,0.000635079,0.000635079,0.000635079
14,2715.54,0.53647,0.54242,0.87546,0.98828,1,0.995,0.90212,0.40507,0.31175,0.7169,0.000618586,0.000618586,0.000618586
15,2823.71,0.53095,0.54168,0.87759,0.98701,0.99868,0.995,0.88744,0.41543,0.35303,0.7335,0.000602092,0.000602092,0.000602092
16,2933.6,0.53604,0.53725,0.87899,0.98732,0.99821,0.995,0.89878,0.33278,0.28205,0.70084,0.000585599,0.000585599,0.000585599
17,3040.19,0.50655,0.51133,0.86945,0.99008,1,0.995,0.88505,0.36533,0.30113,0.70668,0.000569106,0.000569106,0.000569106
18,3146.07,0.52198,0.50148,0.87889,0.99246,1,0.995,0.90089,0.39432,0.30413,0.70595,0.000552612,0.000552612,0.000552612
19,3260.98,0.52402,0.50283,0.87115,0.99029,0.99877,0.995,0.90846,0.33764,0.24631,0.69913,0.000536119,0.000536119,0.000536119
20,3452.79,0.48727,0.47224,0.86349,0.99384,1,0.995,0.90835,0.27886,0.24718,0.68901,0.000519625,0.000519625,0.000519625
21,3588.79,0.47715,0.45245,0.855,0.99622,1,0.995,0.90258,0.38757,0.25142,0.70654,0.000503132,0.000503132,0.000503132
22,3709.3,0.47052,0.4525,0.87023,0.99504,1,0.995,0.91555,0.30099,0.25322,0.69755,0.000486639,0.000486639,0.000486639
23,3840.45,0.45534,0.44157,0.85286,0.9928,1,0.995,0.90709,0.32363,0.2462,0.70508,0.000470145,0.000470145,0.000470145
24,3972.97,0.48224,0.45275,0.86349,0.99221,1,0.995,0.91676,0.28247,0.22173,0.69405,0.000453652,0.000453652,0.000453652
25,4075.16,0.446,0.4209,0.85859,0.99115,0.99934,0.995,0.90892,0.30194,0.19346,0.70196,0.000437158,0.000437158,0.000437158
26,4168.11,0.45115,0.41982,0.86299,0.99116,1,0.995,0.91413,0.27719,0.19387,0.6974,0.000420665,0.000420665,0.000420665
27,4260.1,0.44192,0.41324,0.85236,0.99349,1,0.995,0.91424,0.29565,0.20186,0.69896,0.000404172,0.000404172,0.000404172
28,4354.99,0.4295,0.40277,0.84653,0.99326,1,0.995,0.90729,0.283,0.1882,0.69666,0.000387678,0.000387678,0.000387678
29,4446.44,0.41897,0.39243,0.84348,0.99373,1,0.995,0.9222,0.25867,0.22227,0.69274,0.000371185,0.000371185,0.000371185
30,4539.46,0.42183,0.38795,0.84482,0.99156,1,0.995,0.92248,0.27312,0.18164,0.69987,0.000354691,0.000354691,0.000354691
31,4649.31,0.41439,0.37833,0.84213,0.99455,1,0.995,0.91912,0.27548,0.19032,0.69536,0.000338198,0.000338198,0.000338198
32,4759.31,0.39955,0.37969,0.84118,0.99497,1,0.995,0.92058,0.25361,0.19078,0.69573,0.000321705,0.000321705,0.000321705
33,4855.39,0.40259,0.37987,0.84638,0.98996,1,0.995,0.92479,0.27042,0.20688,0.69703,0.000305211,0.000305211,0.000305211
34,4967.15,0.40276,0.36563,0.84689,0.99285,1,0.995,0.93021,0.25474,0.19571,0.69538,0.000288718,0.000288718,0.000288718
35,5071.41,0.39527,0.36196,0.84724,0.99584,1,0.995,0.92579,0.26257,0.18295,0.69662,0.000272224,0.000272224,0.000272224
36,5174.65,0.39459,0.36005,0.84281,0.99327,1,0.995,0.91629,0.26328,0.20125,0.69709,0.000255731,0.000255731,0.000255731
37,5277.95,0.3813,0.35782,0.84196,0.99461,1,0.995,0.92423,0.26005,0.18473,0.69265,0.000239238,0.000239238,0.000239238
38,5366.68,0.37859,0.34385,0.83819,0.9924,1,0.995,0.92348,0.23967,0.16048,0.69127,0.000222744,0.000222744,0.000222744
39,5481.92,0.38104,0.34654,0.83675,0.99439,1,0.995,0.92564,0.25662,0.16407,0.69111,0.000206251,0.000206251,0.000206251
40,5585.58,0.37867,0.35061,0.83566,0.99243,1,0.995,0.92192,0.2705,0.17232,0.69767,0.000189757,0.000189757,0.000189757
41,5713.85,0.35857,0.38174,0.80906,0.99117,1,0.995,0.91861,0.26971,0.20742,0.70328,0.000173264,0.000173264,0.000173264
42,5844.04,0.35076,0.35352,0.81168,0.99254,1,0.995,0.91973,0.23352,0.17206,0.6899,0.000156771,0.000156771,0.000156771
43,5949.18,0.32754,0.34006,0.80818,0.9932,1,0.995,0.91147,0.24296,0.16631,0.69094,0.000140277,0.000140277,0.000140277
44,6046.78,0.31016,0.32879,0.80263,0.99425,1,0.995,0.91938,0.23032,0.16465,0.68915,0.000123784,0.000123784,0.000123784
45,6162.44,0.30585,0.32398,0.79817,0.99369,1,0.995,0.92441,0.23488,0.15801,0.68956,0.00010729,0.00010729,0.00010729
46,6273.74,0.30354,0.315,0.79865,0.99394,1,0.995,0.92674,0.23678,0.1512,0.68984,9.0797e-05,9.0797e-05,9.0797e-05
47,6373.81,0.2999,0.31392,0.80065,0.99313,1,0.995,0.92818,0.23862,0.15358,0.69132,7.43036e-05,7.43036e-05,7.43036e-05
48,6467.18,0.28784,0.30576,0.79845,0.99328,1,0.995,0.92666,0.23813,0.15741,0.69235,5.78102e-05,5.78102e-05,5.78102e-05
49,6686.3,0.28608,0.30619,0.79629,0.99316,1,0.995,0.92636,0.22148,0.14788,0.68904,4.13168e-05,4.13168e-05,4.13168e-05
50,20056,0.2794,0.29904,0.79625,0.99344,1,0.995,0.92478,0.22074,0.16011,0.68875,2.48234e-05,2.48234e-05,2.48234e-05
